Ground distance, pathloss, LOS distance, average ray length
620, 77.7551, 620, 619.245
630, 78.6859, 630, 629.234
640, 77.796, 640, 639.226
650, 80.3043, 650, 649.077
660, 78.5464, 660, 659.182
670, 77.9712, 670, 669.232
680, 79.9707, 680, 679.209
690, 80.4451, 690, 689.184
700, 83.5804, 700, 699.178
710, 80.3457, 710, 709.067
720, 79.0539, 720, 719.111
730, 80.587, 730, 728.968
740, 80.0837, 740, 739.158
750, 79.6567, 750, 749.045
760, 80.035, 760, 759.054
770, 83.1589, 770, 769.082
780, 78.8776, 780, 778.977
790, 80.3713, 790, 788.781
800, 82.1078, 800, 799.087
810, 79.0124, 810, 808.994
820, 80.6951, 820, 818.944
830, 80.537, 830, 828.985
840, 80.9044, 840, 838.983
850, 79.8262, 850, 849.012
860, 80.5972, 860, 858.866
870, 80.9459, 870, 868.942
880, 80.5621, 880, 878.915
890, 81.6869, 890, 888.93
900, 81.7839, 900, 898.866
910, 80.2166, 910, 908.904
920, 81.9748, 920, 918.81
930, 83.0378, 930, 928.923
940, 81.8813, 940, 938.808
950, 81.9732, 950, 948.897
960, 82.0642, 960, 958.741
970, 81.4079, 970, 968.753
980, 82.2433, 980, 978.896
990, 80.9485, 990, 988.652
1000, 82.9987, 1000, 998.654
