Ground distance, pathloss, LOS distance, average ray length
670, 78.5926, 670, 667.579
680, 78.6114, 680, 677.389
690, 78.9896, 690, 687.38
700, 78.9178, 700, 697.44
710, 79.4742, 710, 707.303
720, 79.5957, 720, 717.233
730, 79.147, 730, 727.314
740, 79.2122, 740, 737.16
750, 79.7718, 750, 747.21
760, 79.8868, 760, 757.083
770, 80.3021, 770, 767.088
780, 79.3158, 780, 777.175
790, 81.2731, 790, 787.095
800, 80.8257, 800, 796.957
810, 80.7733, 810, 807.079
820, 79.9487, 820, 816.89
830, 79.6424, 830, 826.691
840, 80.3131, 840, 836.748
850, 79.8956, 850, 846.698
860, 80.6512, 860, 856.702
870, 80.4883, 870, 866.732
880, 80.7969, 880, 876.654
890, 80.9762, 890, 886.62
900, 81.8815, 900, 896.67
910, 81.5397, 910, 906.555
920, 81.5463, 920, 916.448
930, 81.3038, 930, 926.553
940, 81.2901, 940, 936.26
950, 81.382, 950, 946.291
960, 81.2174, 960, 956.309
970, 80.7275, 970, 966.375
980, 81.4465, 980, 976.257
990, 82.0967, 990, 986.164
1000, 81.9612, 1000, 996.339
