ground distance, LOS dist, two ray, free space
400, 402.523, 82.455, 83.6409
405, 407.492, 82.8907, 83.8137
410, 412.462, 82.1102, 83.8593
415, 417.433, 81.7868, 83.8593
420, 422.404, 81.6202, 83.9322
425, 427.376, 81.7937, 84.2209
430, 432.348, 81.7812, 84.3392
435, 437.321, 82.0743, 84.3392
440, 442.295, 82.1907, 84.4157
445, 447.269, 82.661, 84.625
450, 452.244, 83.7032, 84.7839
455, 457.22, 83.2078, 84.6543
460, 462.196, 84.8857, 84.8945
465, 467.172, 85.7896, 84.9698
470, 472.149, 85.8259, 85.1108
475, 477.127, 86.9539, 84.9416
480, 482.105, 85.9861, 85.1189
485, 487.083, 88.24, 85.3213
490, 492.062, 89.0755, 85.4473
495, 497.041, 89.8987, 85.4685
500, 502.021, 90.028, 85.5837
505, 507.001, 90.0468, 85.593
510, 511.981, 88.9493, 85.6412
515, 516.962, 89.2697, 85.7231
520, 521.943, 88.1845, 85.7765
525, 526.925, 87.1248, 85.9256
530, 531.907, 86.5167, 86.1504
535, 536.889, 86.3839, 85.9835
540, 541.872, 85.8857, 86.1729
545, 546.855, 85.4747, 86.2459
550, 551.838, 85.5318, 86.3551
555, 556.821, 85.2353, 86.4397
560, 561.805, 84.3152, 86.5654
565, 566.789, 84.2396, 86.6311
570, 571.774, 83.8015, 86.7226
575, 576.758, 84.338, 86.8715
580, 581.743, 83.9573, 86.8904
585, 586.728, 83.5389, 86.6357
590, 591.714, 83.7051, 86.8812
595, 596.699, 83.8027, 87.0624
600, 601.685, 84.0526, 87.1062
610, 611.658, 83.9756, 87.2643
620, 621.631, 84.1232, 87.3656
630, 631.605, 84.2564, 87.3799
640, 641.58, 84.8088, 87.8237
650, 651.556, 86.5802, 87.9374
660, 661.532, 86.829, 87.9081
670, 671.509, 87.1509, 87.9843
680, 681.487, 88.1339, 88.175
690, 691.466, 88.5655, 88.2666
700, 701.445, 91.3777, 88.2427
710, 711.425, 88.3968, 88.5549
720, 721.405, 94.7844, 88.7683
730, 731.386, 95.5437, 88.9458
740, 741.367, 95.166, 88.8503
750, 751.349, 95.3656, 89.0773
760, 761.331, 95.9233, 89.2118
770, 771.314, 95.9849, 89.2504
780, 781.297, 95.3805, 89.3817
790, 791.281, 94.9677, 89.6182
800, 801.265, 90.0367, 89.6958
810, 811.249, 92.9427, 89.7369
820, 821.234, 90.0455, 89.8696
830, 831.219, 88.4662, 90.0527
840, 841.204, 87.0758, 90.1094
850, 851.19, 89.8491, 90.1303
860, 861.177, 89.9157, 90.1925
870, 871.163, 87.7941, 90.2005
880, 881.15, 88.9232, 90.2805
890, 891.137, 87.6391, 90.4336
900, 901.124, 88.0769, 90.5197
910, 911.112, 86.8893, 90.805
920, 921.1, 87.0276, 90.8356
930, 931.088, 87.8418, 90.8596
940, 941.077, 87.1596, 91.055
950, 951.065, 88.1397, 91.0225
960, 961.054, 88.4239, 91.3246
970, 971.043, 87.0978, 91.2899
980, 981.033, 87.1775, 91.3373
990, 991.022, 87.1189, 91.5913
1000, 1001.01, 87.2036, 91.5473
